Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-22,05:45,13:15,16:15,17:50,19:45
,02-Mar-22,05:45,13:15,16:15,17:51,19:45
,03-Mar-22,05:45,13:15,16:15,17:53,19:45
,04-Mar-22,05:30,13:15,16:30,17:55,20:00
,05-Mar-22,05:30,13:15,16:30,17:57,20:00
,06-Mar-22,05:30,13:15,16:30,17:58,20:00
,07-Mar-22,05:30,13:15,16:30,18:00,20:00
,08-Mar-22,05:30,13:15,16:30,18:02,20:00
,09-Mar-22,05:30,13:15,16:30,18:04,20:00
,10-Mar-22,05:30,13:15,16:30,18:05,20:00
,11-Mar-22,05:15,13:15,16:45,18:07,20:00
,12-Mar-22,05:15,13:15,16:45,18:09,20:00
,13-Mar-22,05:15,13:15,16:45,18:10,20:00
,14-Mar-22,05:15,13:15,16:45,18:12,20:00
,15-Mar-22,05:15,13:15,16:45,18:14,20:00
,16-Mar-22,05:15,13:15,16:45,18:16,20:00
,17-Mar-22,05:15,13:15,16:45,18:17,20:00
,18-Mar-22,05:00,13:15,16:45,18:19,20:00
,19-Mar-22,05:00,13:15,16:45,18:21,20:00
,20-Mar-22,05:00,13:15,16:45,18:22,20:15
,21-Mar-22,05:00,13:15,16:45,18:24,20:15
,22-Mar-22,05:00,13:15,16:45,18:26,20:15
,23-Mar-22,05:00,13:15,16:45,18:27,20:15
,24-Mar-22,05:00,13:15,16:45,18:29,20:15
,25-Mar-22,05:00,13:15,17:00,18:31,20:15
,26-Mar-22,05:00,13:15,17:00,18:32,20:15
,27-Mar-22,05:30,13:30,18:00,19:34,21:15
,28-Mar-22,05:30,13:30,18:00,19:36,21:15
,29-Mar-22,05:30,13:30,18:00,19:37,21:15
,30-Mar-22,05:30,13:30,18:00,19:39,21:15
,31-Mar-22,05:30,13:30,18:00,19:42,21:15
