Day,DATE,FAJR,zohar,ASR,MAGHRIB,ESHA
,1-Feb-16,07:00,13:00,15:30,16:52,19:15
,2-Feb-16,07:00,13:00,15:30,16:53,19:15
,3-Feb-16,07:00,13:00,15:30,16:55,19:15
,4-Feb-16,07:00,13:00,15:30,16:57,19:15
,5-Feb-16,07:00,13:15,15:30,16:59,19:15
,6-Feb-16,07:00,13:00,15:45,17:01,19:15
,7-Feb-16,06:45,13:00,15:45,17:02,19:15
,8-Feb-16,06:45,13:00,15:45,17:04,19:15
,9-Feb-16,06:45,13:00,15:45,17:06,19:15
,10-Feb-16,06:45,13:00,15:45,17:08,19:15
,11-Feb-16,06:45,13:00,15:45,17:10,19:15
,12-Feb-16,06:45,13:15,15:45,17:12,19:15
,13-Feb-16,06:45,13:00,15:45,17:13,19:15
,14-Feb-16,06:30,13:00,16:00,17:15,19:15
,15-Feb-16,06:30,13:00,16:00,17:17,19:15
,16-Feb-16,06:30,13:00,16:00,17:19,19:15
,17-Feb-16,06:30,13:00,16:00,17:21,19:15
,18-Feb-16,06:30,13:00,16:00,17:23,19:15
,19-Feb-16,06:30,13:15,16:00,17:24,19:15
,20-Feb-16,06:30,13:00,16:00,17:26,19:15
,21-Feb-16,06:15,13:00,16:15,17:28,19:15
,22-Feb-16,06:15,13:00,16:15,17:30,19:15
,23-Feb-16,06:15,13:00,16:15,17:32,19:15
,24-Feb-16,06:15,13:00,16:15,17:33,19:15
,25-Feb-16,06:15,13:00,16:15,17:35,19:30
,26-Feb-16,06:15,13:15,16:15,17:37,19:30
,27-Feb-16,06:15,13:00,16:15,17:39,19:30
,28-Feb-16,06:00,13:00,16:15,17:41,19:30
,29-Feb-16,06:00,13:00,16:15,17:42,19:30
