Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha,,,,,,
,01-Mar-23,05:42,13:30,16:15,17:48,19:30,,,,,,
,02-Mar-23,05:39,13:30,16:15,17:50,19:30,,,,,,
,03-Mar-23,05:37,13:30,16:15,17:52,19:30,,,,,,
,04-Mar-23,05:35,13:30,16:15,17:54,19:30,,,,,,
,05-Mar-23,05:33,13:30,16:15,17:55,19:30,,,,,,
,06-Mar-23,05:31,13:30,16:15,17:57,19:30,,,,,,
,07-Mar-23,05:28,13:30,16:15,17:59,19:30,,,,,,
,08-Mar-23,05:26,13:30,16:15,18:01,19:30,,,,,,
,09-Mar-23,05:24,13:30,16:30,18:02,19:45,,,,,,
,10-Mar-23,05:22,13:30,16:30,18:04,19:45,,,,,,
,11-Mar-23,05:20,13:30,16:30,18:06,19:45,,,,,,
,12-Mar-23,05:17,13:30,16:30,18:08,19:45,,,,,,
,13-Mar-23,05:15,13:30,16:30,18:09,19:45,,,,,,
,14-Mar-23,05:13,13:30,16:30,18:11,19:45,,,,,,
,15-Mar-23,05:11,13:30,16:30,18:13,19:45,,,,,,
,16-Mar-23,05:08,13:30,16:30,18:14,19:45,,,,,,
,17-Mar-23,05:06,13:30,16:45,18:16,20:00,,,,,,
,18-Mar-23,05:04,13:30,16:45,18:18,20:00,,,,,,
,19-Mar-23,05:01,13:30,16:45,18:19,20:00,,,,,,
,20-Mar-23,05:00,13:30,16:45,18:21,20:00,,,,,,
,21-Mar-23,04:58,13:30,16:45,18:23,20:00,,,,,,
,22-Mar-23,04:57,13:30,16:45,18:25,20:30,,,,,,
,23-Mar-23,04:39,13:30,16:45,18:36,20:30,,,,,,
,24-Mar-23,04:37,13:30,16:45,18:38,20:30,,,,,,
,25-Mar-23,04:35,13:30,16:45,18:40,20:30,,,,,,
,26-Mar-23,05:33,13:30,17:45,19:41,21:30,,,,,,
,27-Mar-23,05:31,13:30,17:45,19:43,21:30,,,,,,
,28-Mar-23,05:30,13:30,17:45,19:45,21:30,,,,,,
,29-Mar-23,05:28,13:30,17:45,19:46,21:30,,,,,,
,30-Mar-23,05:25,13:30,17:45,19:48,21:30,,,,,,
,31-Mar-23,05:24,13:30,17:45,19:50,21:30,,,,,,
